experiment,label,platform,model,condition,resource_envelope,source_file,metric,unit,n,mean,median,stddev,min,max
azure_cpu_llama32_3b,Azure CPU Llama 3.2 3B,Azure CPU,llama3.2:3b,PVC baseline,2 CPU / 4 GiB limit,results/cloud-cpu/ollama/llama3.2-3b/pvc-recovery-4gi.csv,memory_current_gib,GiB,10,2.458914,2.423006,0.113754,2.421307,2.782639
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,kubernetes_ready_s,s,10,5.790000,5.793500,0.111671,5.553000,5.961000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,runtime_reachable_s,s,10,5.911400,5.912000,0.111655,5.676000,6.085000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,ready_to_runtime_s,s,10,0.121400,0.122000,0.002011,0.118000,0.124000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,functional_recovery_s,s,10,69.747600,69.716000,0.244662,69.431000,70.271000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,ready_to_inference_s,s,10,63.957600,63.979000,0.199912,63.616000,64.310000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,request_wall_s,s,10,63.819600,63.840500,0.198891,63.480000,64.169000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,ollama_total_s,s,10,63.683000,63.692000,0.192396,63.344000,64.007000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,model_load_s,s,10,34.497000,34.515000,0.132755,34.263000,34.746000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,prompt_eval_s,s,10,29.130300,29.135500,0.104811,28.922000,29.271000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,eval_s,s,10,0.027100,0.017500,0.017534,0.017000,0.065000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,memory_current_gib,GiB,10,1.019235,1.019464,0.004522,1.010418,1.028057
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,gpu_used_before_mib,MiB,10,2554.000000,2554.000000,0.000000,2554.000000,2554.000000
gpu_llama32_3b_ephemeral_cuda_cache,T4 Llama 3.2 3B - ephemeral CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,ephemeral CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery.csv,gpu_used_after_mib,MiB,10,2554.000000,2554.000000,0.000000,2554.000000,2554.000000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,kubernetes_ready_s,s,10,5.721400,5.767000,0.195672,5.447000,6.007000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,runtime_reachable_s,s,10,5.844700,5.887500,0.192979,5.586000,6.127000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,ready_to_runtime_s,s,10,0.123300,0.121500,0.006001,0.119000,0.139000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,functional_recovery_s,s,10,9.259200,9.298000,0.206358,8.956000,9.546000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,ready_to_inference_s,s,10,3.537800,3.542500,0.039392,3.484000,3.594000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,request_wall_s,s,10,3.398000,3.403500,0.036998,3.346000,3.452000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,ollama_total_s,s,10,3.270900,3.278500,0.041076,3.214000,3.328000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,model_load_s,s,10,3.141800,3.153500,0.042205,3.047000,3.187000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,prompt_eval_s,s,10,0.096600,0.090000,0.017083,0.080000,0.125000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,eval_s,s,10,0.011800,0.011500,0.001932,0.009000,0.015000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,memory_current_gib,GiB,10,0.749790,0.750271,0.001974,0.746964,0.751892
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,gpu_used_before_mib,MiB,10,2304.000000,2560.000000,809.543081,0.000000,2560.000000
gpu_llama32_3b_persistent_cuda_cache,T4 Llama 3.2 3B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.2:3b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.2-3b/recovery/gpu-recovery-persistent-cuda-cache.csv,gpu_used_after_mib,MiB,10,2560.000000,2560.000000,0.000000,2560.000000,2560.000000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,kubernetes_ready_s,s,10,5.629800,5.719500,0.179386,5.322000,5.788000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,runtime_reachable_s,s,10,5.750900,5.839000,0.180740,5.438000,5.915000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,ready_to_runtime_s,s,10,0.121100,0.120500,0.003414,0.116000,0.127000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,functional_recovery_s,s,10,9.469900,9.480000,0.236249,9.183000,9.897000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,ready_to_inference_s,s,10,3.840100,3.815500,0.112512,3.755000,4.135000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,request_wall_s,s,10,3.702400,3.679500,0.113002,3.617000,3.999000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,ollama_total_s,s,10,3.579900,3.557500,0.113182,3.495000,3.878000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,model_load_s,s,10,3.432800,3.401000,0.121780,3.309000,3.761000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,prompt_eval_s,s,10,0.093600,0.089000,0.008475,0.089000,0.114000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,eval_s,s,10,0.023100,0.019500,0.009927,0.019000,0.051000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,memory_current_gib,GiB,10,0.729615,0.729998,0.001890,0.726357,0.731884
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,gpu_used_before_mib,MiB,10,5150.000000,5150.000000,0.000000,5150.000000,5150.000000
gpu_llama31_8b_persistent_cuda_cache,T4 Llama 3.1 8B - persistent CUDA ComputeCache,Azure T4 GPU,llama3.1:8b,persistent CUDA ComputeCache,2 CPU / 4 GiB limit / 1 GPU,results/cloud-gpu/ollama/llama3.1-8b/recovery/gpu-recovery-persistent-cuda-cache.csv,gpu_used_after_mib,MiB,10,5150.000000,5150.000000,0.000000,5150.000000,5150.000000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,kubernetes_ready_s,s,10,5.545500,5.523500,0.201268,5.237000,5.889000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,runtime_reachable_s,s,10,5.666600,5.643000,0.200682,5.364000,6.011000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,ready_to_runtime_s,s,10,0.121100,0.120500,0.002644,0.118000,0.127000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,functional_recovery_s,s,10,10.825900,10.802000,0.218775,10.507000,11.170000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,ready_to_inference_s,s,10,5.280400,5.275500,0.029621,5.245000,5.327000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,request_wall_s,s,10,5.142900,5.137500,0.028819,5.109000,5.191000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,ollama_total_s,s,10,5.010100,5.003500,0.029610,4.979000,5.061000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,model_load_s,s,10,4.719500,4.717000,0.028418,4.686000,4.767000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,prompt_eval_s,s,10,0.189700,0.187000,0.015550,0.175000,0.224000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,eval_s,s,10,0.089300,0.088500,0.017205,0.058000,0.118000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,memory_current_gib,GiB,10,0.535125,0.535170,0.003586,0.528419,0.539070
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,gpu_used_before_mib,MiB,10,9340.000000,9340.000000,0.000000,9340.000000,9340.000000
gpu_qwen3_14b_20gi_persistent_cuda_cache,T4 Qwen3 14B - 20 GiB persistent CUDA ComputeCache,Azure T4 GPU,qwen3:14b,persistent CUDA ComputeCache; mmap-enabled right-sized run,2 CPU / 20 GiB limit / 1 GPU,results/cloud-gpu/ollama/qwen3-14b/recovery/gpu-recovery-20gi-persistent-cuda-cache.csv,gpu_used_after_mib,MiB,10,9340.000000,9340.000000,0.000000,9340.000000,9340.000000
